structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,brain,reg_num,top_level,region_clean
9520,93,146022078,BS,Arc,"arcuate nucleus of medulla, left",113900776,94,161,120,-3,-29,-52,14380,NA,NA,NA
9155,92,146022062,BS,SubC,"nucleus subceruleus, left",114684269,98,141,130,-7,-39,-32,14380,NA,NA,NA
9206,92,146022046,BS,Mo5,"motor nucleus of trigeminal nerve, left",114451588,99,141,132,-8,-41,-32,14380,NA,NA,NA
9598,92,146022058,BS,GiRt,"gigantocellular group, left",116841525,93,147,126,-2,-35,-38,14380,NA,NA,NA
9143,92,146022042,BS,7,"facial motor nucleus, left",114298942,98,147,125,-7,-34,-38,14380,NA,NA,NA
9137,92,146022026,BS,6,"abducens nucleus, left",114256176,94,147,128,-3,-37,-38,14380,NA,NA,NA
9677,92,146021976,BS,Sp5,"spinal trigeminal nucleus, left",115872463,99,147,126,-8,-35,-38,14380,NA,NA,NA
9492,92,146021960,BS,Pn,"pontine nuclei, left",120296212,97,147,115,-6,-24,-38,14380,NA,NA,NA
9206,92,146021944,BS,Mo5,"motor nucleus of trigeminal nerve, left",114451695,101,147,126,-10,-35,-38,14380,NA,NA,NA
9178,92,146021928,BS,SOC,"superior olivary complex, left",116836991,97,147,123,-6,-32,-38,14380,NA,NA,NA
9155,92,146021896,BS,SubC,"nucleus subceruleus, left",120292204,97,147,127,-6,-36,-38,14380,NA,NA,NA
9698,92,146021980,BS,8Ve,"vestibular nuclei, left",116862377,98,153,137,-7,-46,-44,14380,NA,NA,NA
9677,92,146021964,BS,Sp5,"spinal trigeminal nucleus, left",114738752,98,154,134,-7,-43,-45,14380,NA,NA,NA
9598,92,146021932,BS,GiRt,"gigantocellular group, left",120028857,94,154,133,-3,-42,-45,14380,NA,NA,NA
9561,92,146021916,BS,IO,"inferior olivary complex, left",112746582,98,156,127,-7,-36,-47,14380,NA,NA,NA
9642,92,146022028,BS,RaM,raphe nuclei of medulla,119921570,91,151,128,0,-37,-42,14380,NA,NA,NA
9698,92,146021994,BS,8Ve,"vestibular nuclei, left",114510345,96,150,133,-5,-42,-41,14380,NA,NA,NA
9598,92,146021962,BS,GiRt,"gigantocellular group, left",119970526,93,151,129,-2,-38,-42,14380,NA,NA,NA
9492,92,146021946,BS,Pn,"pontine nuclei, left",113448831,96,152,114,-5,-23,-43,14380,NA,NA,NA
9178,92,146021930,BS,SOC,"superior olivary complex, left",116897463,97,151,128,-6,-37,-42,14380,NA,NA,NA
9158,92,146021914,BS,RPn,"pontine raphe nucleus, left",116877362,89,150,131,2,-40,-41,14380,NA,NA,NA
9161,91,139427995,BS,PRF,"pontine reticular formation, left",114491965,95,140,121,-4,-30,-31,14380,NA,NA,NA
9152,91,139427979,BS,MPB,"medial parabrachial nucleus, left",114353974,96,139,126,-5,-35,-30,14380,NA,NA,NA
9152,91,139428093,BS,MPB,"medial parabrachial nucleus, left",113762043,96,130,129,-5,-38,-21,14380,NA,NA,NA
9075,91,139428029,BS,SNR,"substantia nigra, pars reticulata, left",117347360,95,131,122,-4,-31,-22,14380,9072,VTA_SN,substantia nigra
9074,91,139428013,BS,SNC,"substantia nigra, pars compacta, left",114121950,94,131,121,-3,-30,-22,14380,9072,VTA_SN,substantia nigra
9067,91,139427997,BS,VTA,"ventral tegmental area, left",114123534,93,131,122,-2,-31,-22,14380,9067,VTA_SN,"ventral tegmental area, left"
